github.com/AlDanial/cloc v 2.02  T=1.55 s (410.8 files/s, 72054.5 lines/s)
----------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                       blank        comment           code
.\apps\client\src\components\game\ResumeConfirmationDialog.tsx                                                 4             25             55
.\crates\mahjong_server\src\network\websocket\state.rs                                                         9             74             55
.\docs\implementation\frontend\tests\test-scenarios\charleston-courtesy-pass.md                               16              0             54
.\docs\implementation\frontend\tests\test-scenarios\wall-game.md                                              15              0             54
.\apps\client\src\components\game\WinnerCelebration.test.tsx                                                  11              5             53
.\docs\implementation\frontend\VR-016-ghost-placeholder.md                                                    16              0             53
.\docs\implementation\frontend\tests\test-scenarios\charleston-second-charleston.md                           20              0             53
.\scripts\fix_md.py                                                                                           20             25             53
.\apps\client\playwright.config.ts                                                                             2              0             52
.\apps\client\src\components\game\HistoricalViewBanner.tsx                                                     3             21             52
.\docs\implementation\frontend\VR-001-table-felt-gradient.md                                                  20              0             52
.\docs\implementation\frontend\tests\test-scenarios\request-hints-ai-analysis.md                              15              0             52
.\apps\client\src\components\game\HintPanel.test.tsx                                                           9              0             51
.\apps\client\src\components\game\PlayerZone.tsx                                                               4              3             51
.\apps\client\src\lib\utils\tileUtils.ts                                                                      13             37             51
.\docs\implementation\frontend\tests\test-scenarios\charleston-voting.md                                      16              0             51
.\scripts\analyze_text_colors.py                                                                              16             17             51
.\apps\client\src\hooks\usePlayingPhaseState.ts                                                                7             18             50
.\docs\implementation\frontend\VR-015-typography-system.md                                                    29              0             50
.\docs\implementation\frontend\tests\test-scenarios\drawing-discarding.md                                     14              0             50
.\apps\client\src\components\game\CourtesyPassPanel.tsx                                                        5             10             49
.\crates\mahjong_server\src\db\models.rs                                                                       5             35             49
.\apps\client\src\components\game\ConnectionStatus.test.tsx                                                    6              1             48
.\crates\mahjong_server\tests\stall_controls_tests.rs                                                         17             12             48
.\apps\client\src\components\ui\card.tsx                                                                       8              0             47
.\crates\mahjong_server\migrations\20260104000002_enable_rls_and_auth.sql                                     13             46             47
.\crates\mahjong_server\src\db\snapshots.rs                                                                    6              2             47
.\docs\implementation\frontend\tests\test-scenarios\view-move-history.md                                      14              0             47
.\apps\client\e2e\support\faults.ts                                                                            9              1             46
.\apps\client\src\components\game\DiscardPool.tsx                                                              7             13             46
.\docs\implementation\frontend\VR-014-action-bar-migration.md                                                 22              0             46
.\docs\strategy-guide.md                                                                                      44              0             46
.\TODO.md                                                                                                     20              0             45
.\apps\client\src\components\game\HistoricalViewBanner.test.tsx                                                6              0             45
.\apps\client\src\lib\game-events\sideEffectManager.ts                                                        12             48             45
.\apps\client\src\lib\hintSettings.ts                                                                         11             46             45
.\crates\mahjong_server\tests\memory_stress_test.rs                                                           12              9             45
.\scripts\clean_pages.py                                                                                      14             15             45
.\apps\client\src\components\ui\button.tsx                                                                     5              1             44
.\apps\client\src\lib\game-logic\callIntentCalculator.ts                                                      12             65             44
.\docs\implementation\frontend\tests\test-scenarios\joker-exchange-single.md                                  14              0             44
.\docs\implementation\frontend\tests\test-scenarios\mahjong-called.md                                         14              0             44
.\apps\client\src\components\game\CallTimer.test.tsx                                                          17              6             43
.\crates\mahjong_ai\benches\ai_benchmarks.rs                                                                   9              4             43
.\crates\mahjong_server\src\network\visibility.rs                                                              6             19             43
.\docs\implementation\frontend\VR-012-playing-phase-staging-flow.md                                           22              0             43
.\docs\implementation\frontend\VR-013-charleston-direction-banner.md                                          19              0             43
.\docs\implementation\frontend\tests\test-scenarios\call-window-intent-buffering.md                           14              0             43
.\docs\implementation\frontend\tests\test-scenarios\charleston-blind-pass.md                                  14              0             43
.\docs\implementation\frontend\tests\test-scenarios\dead-hand-tile-count.md                                   14              0             43
.\docs\implementation\frontend\tests\test-scenarios\undo-voting.md                                            14              0             43
.\docs\implementation\frontend\tests\test-scenarios\forfeit-game.md                                           14              0             42
.\docs\implementation\frontend\tests\test-scenarios\joker-exchange-multiple.md                                14              0             42
.\docs\implementation\frontend\tests\test-scenarios\undo-solo.md                                              14              0             41
.\apps\client\src\assets\tiles\README.md                                                                      23              0             40
.\apps\client\src\components\game\LeaveConfirmationDialog.test.tsx                                             6              0             40
.\crates\mahjong_server\src\event_delivery.rs                                                                  7             33             40
.\docs\implementation\frontend\tests\test-scenarios\charleston-first-across.md                                15              0             40
.\crates\mahjong_server\tests\history_error_tests.rs                                                          10             10             39
.\apps\client\src\components\game\HouseRulesDefaults.ts                                                        5             39             38
.\apps\client\src\components\game\ResumeConfirmationDialog.test.tsx                                            4              0             38
.\apps\client\src\components\game\UndoButton.test.tsx                                                          8              0             38
.\crates\mahjong_ai\benches\hint_advisor_bench.rs                                                              6              3             37
.\crates\mahjong_core\src\flow\tests\phase_transitions.rs                                                      8              1             37
.\docs\implementation\frontend\tests\test-scenarios\history-jump.md                                           12              0             36
.\apps\client\src\components\game\CallTimer.tsx                                                                6             12             35
.\apps\client\src\hooks\useCountdown.ts                                                                       10              0             35
.\docs\implementation\frontend\VR-010-blind-slot-display.md                                                   17              0             35
.\apps\client\src\components\game\CreateRoomForm.test.tsx                                                      6              0             34
.\crates\mahjong_ai\examples\mcts_pruning.rs                                                                   9              7             34
.\docs\implementation\frontend\tests\test-scenarios\create-room.md                                            13              0             34
.\crates\mahjong_core\src\event\types.rs                                                                       4             45             33
.\crates\mahjong_server\tests\ai_comparison_test.rs                                                           12              7             33
.\docs\implementation\frontend\tests\test-scenarios\disconnect-reconnect.md                                    9              0             33
.\apps\client\src\lib\game-logic\meldUpgradeDetector.ts                                                       11             27             32
.\apps\client\vite.config.ts                                                                                   1              1             32
.\apps\client\src\components\game\CharlestonTimer.tsx                                                          6             20             31
.\apps\client\src\test\react-testing-library.test.tsx                                                         11              3             31
.\crates\mahjong_core\src\test_utils.rs                                                                        5             78             31
.\docs\implementation\frontend\tests\test-scenarios\join-room.md                                              13              0             31
.\apps\client\src\components\game\HouseRulesPanel.test.tsx                                                     7              0             30
.\apps\client\src\features\game\LeaveGame.integration.test.tsx                                                 5              3             30
.\apps\client\src\test\mocks\websocket.test.ts                                                                 8              3             30
.\docs\implementation\frontend\VR-011-incoming-entry-animation.md                                             15              0             30
.\docs\implementation\frontend\tests\test-scenarios\mahjong-self-draw.md                                      12              0             30
.\apps\client\e2e\support\multiclient.ts                                                                       5              1             29
.\apps\client\src\test\setup.ts                                                                                6              7             29
.\crates\mahjong_core\src\event\analysis_events.rs                                                             4             13             28
.\docs\adr\0024-smart-undo-decision-points.md                                                                 11              0             28
.\apps\client\src\hooks\gameSocketRecovery.ts                                                                  2              0             27
.\apps\client\src\types\bindings\generated\PrivateEvent.ts                                                     1             71             27
.\apps\client\eslint.config.js                                                                                 1              0             26
.\apps\client\src\components\game\PassAnimationLayer.tsx                                                       5             20             26
.\apps\client\src\components\ui\badge.tsx                                                                      5              1             26
.\apps\client\src\hooks\gameSocketSession.ts                                                                   7              0             26
.\apps\client\src\types\bindings\generated\GameStateSnapshot.ts                                                1             60             26
.\docs\implementation\frontend\tests\test-scenarios\calling-priority-turn-order.md                            11              0             26
.\apps\client\src\components\game\TimelineScrubber.test.tsx                                                    3              0             25
.\apps\client\src\components\ui\tooltip.tsx                                                                    7              0             25
.\apps\client\src\lib\utils\tileSelection.ts                                                                   6              0             25
.\apps\client\vitest.config.ts                                                                                 6              7             25
.\apps\client\src\components\game\PriorityDiagram.test.tsx                                                     7              3             24
.\apps\client\src\hooks\gameSocketEnvelopes.ts                                                                 2              0             24
.\apps\client\src\components\ui\checkbox.tsx                                                                   3              0             23
.\apps\client\src\components\ui\slider.tsx                                                                     3              0             23
.\apps\client\src\lib\utils\tileSelection.test.ts                                                              4              0             23
.\apps\client\src\test\setup.test.ts                                                                           5              4             23
.\apps\client\src\types\bindings\generated\GameCommand.ts                                                      1             63             23
.\crates\mahjong_ai\src\lib.rs                                                                                 3             27             23
.\crates\mahjong_server\src\network\mod.rs                                                                     2             33             23
.\docs\implementation\frontend\tests\test-scenarios\call-priority-closest-mahjong.md                          10              0             22
.\docs\implementation\frontend\tests\test-scenarios\call-priority-closest-meld.md                             10              0             22
.\docs\implementation\frontend\tests\test-scenarios\call-priority-mahjong-wins.md                             10              0             22
.\apps\client\src\hooks\useCountdown.test.ts                                                                   5              0             21
.\apps\client\src\types\bindings\generated\PlayerStats.ts                                                      5              7             21
.\docs\implementation\frontend\tests\frontend-test-plan.md                                                    15              0             21
.\apps\client\src\App.tsx                                                                                      4              0             20
.\crates\mahjong_core\src\lib.rs                                                                               2              3             20
.\apps\client\src\components\ui\input.tsx                                                                      3              0             19
.\apps\client\e2e\auth-lobby-boot.spec.ts                                                                      3              0             18
.\apps\client\src\components\game\PassAnimationLayer.css                                                       1              0             17
.\apps\client\src\components\ui\sheet.test.tsx                                                                 2              0             17
.\apps\client\src-tauri\src\lib.rs                                                                             0              0             16
.\apps\client\src\types\bindings\generated\HintData.ts                                                         1             67             16
.\docs\implementation\frontend\tests\test-scenarios\meld-upgrade.md                                            9              0             16
.\apps\client\e2e\create-room.smoke.spec.ts                                                                    6              0             15
.\apps\client\src\components\ui\label.tsx                                                                      4              0             15
.\apps\client\src\components\game\seatAnimations.test.ts                                                       3              0             14
.\apps\client\src\test\test-utils.tsx                                                                          3             18             14
.\crates\mahjong_server\src\lib.rs                                                                             0             50             14
.\apps\client\index.html                                                                                       0              0             13
.\apps\client\src\lib\constants.ts                                                                            19             36             13
.\apps\client\src\lib\utils\dom.test.ts                                                                        2              0             13
.\apps\client\src\types\bindings\generated\CharlestonState.ts                                                  1             72             13
.\apps\client\src\types\bindings\generated\StrategicEvaluation.ts                                              1             41             13
.\apps\client\src\types\bindings\generated\GameResult.ts                                                       1             54             12
.\apps\client\src\types\bindings\generated\TurnStage.ts                                                        1             65             12
.\apps\client\src\components\game\opponentRackUtils.ts                                                         3              1             11
.\docs\implementation\frontend\tests\test-scenarios\history-resume.md                                          7              0             11
.\apps\client\src\types\bindings\generated\PatternAnalysis.ts                                                  1             49             10
.\apps\client\src\types\bindings\generated\PublicPlayerInfo.ts                                                 1             22             10
.\CLAUDE.md                                                                                                    6              0              9
.\apps\client\src\main.tsx                                                                                     1              0              9
.\apps\client\src\types\bindings\generated\Player.ts                                                           1             27              9
.\apps\client\src\types\bindings\generated\WinContext.ts                                                       1             47              9
.\crates\mahjong_core\tests\hint_event_privacy.rs                                                              1              0              9
.\crates\mahjong_server\src\network\websocket\types.rs                                                         2             14              9
.\docs\adr\0001-histogram-first-core-models.md                                                                 8              0              9
.\docs\adr\0002-precomputed-pattern-histograms.md                                                              8              0              9
.\docs\adr\0003-core-crate-pure-logic.md                                                                       8              0              9
.\docs\adr\0004-websocket-envelope-and-auth-handshake.md                                                       8              0              9
.\docs\adr\0005-event-visibility-and-player-specific-replays.md                                                8              0              9
.\docs\adr\0006-server-authoritative-client-state.md                                                           8              0              9
.\docs\adr\0007-event-log-persistence-and-replay.md                                                            8              0              9
.\docs\adr\0008-testing-pyramid-and-ci-gates.md                                                                8              0              9
.\docs\adr\0009-terminal-client-for-backend-testing.md                                                         8              0              9
.\docs\adr\0010-heuristic-bot-ai-for-testing.md                                                                8              0              9
.\docs\adr\0011-managed-hosting-stack.md                                                                       8              0              9
.\docs\adr\0012-separate-strategic-ai-crate.md                                                                 8              0              9
.\docs\adr\0013-always-on-analyst-cached-analysis.md                                                           8              0              9
.\docs\adr\0014-hint-system-composed-from-ai.md                                                                8              0              9
.\docs\adr\0015-pattern-viability-classification.md                                                            8              0              9
.\docs\adr\0016-ruleset-metadata-and-card-year.md                                                              8              0              9
.\docs\adr\0017-joker-restrictions-with-ineligible-histograms.md                                               8              0              9
.\docs\adr\0018-courtesy-pass-negotiation-per-pair.md                                                          8              0              9
.\docs\adr\0019-timer-metadata-with-server-timestamps.md                                                       8              0              9
.\docs\adr\0020-deterministic-replay-wall-state.md                                                             8              0              9
.\docs\adr\0021-debug-ai-comparison-log.md                                                                     8              0              9
.\docs\adr\0022-history-viewer-time-travel-snapshots.md                                                        8              0              9
.\apps\client\src\components\ui\slider.test.tsx                                                                1              0              8
.\apps\client\src\types\bindings\generated\AnalysisEvent.ts                                                    1             19              8
.\apps\client\src\types\bindings\generated\CreateRoomPayload.ts                                                1            111              8
.\apps\client\src\types\bindings\generated\ScoreBreakdown.ts                                                   1             46              8
.\apps\client\src\components\game\seatAnimations.ts                                                            1              4              7
.\apps\client\src\types\bindings\generated\CallOpportunity.ts                                                  1             16              7
.\apps\client\src\types\bindings\generated\Hand.ts                                                             1             18              7
.\apps\client\src\types\bindings\generated\Meld.ts                                                             1             25              7
.\apps\client\src\types\bindings\generated\PatternSummary.ts                                                   1             28              7
.\apps\client\src\types\bindings\generated\Ruleset.ts                                                          1             19              7
.\apps\client\src\types\bindings\generated\Wall.ts                                                             1             16              7
.\apps\client\postcss.config.js                                                                                0              0              6
.\apps\client\src\types\bindings\generated\CallIntent.ts                                                       1             13              6
.\apps\client\src\types\bindings\generated\DefensiveHint.ts                                                    1             13              6
.\apps\client\src\types\bindings\generated\GamePhase.ts                                                        1             33              6
.\apps\client\src\types\bindings\generated\HouseRules.ts                                                       1             19              6
.\apps\client\src\types\bindings\generated\MoveAction.ts                                                       1             28              6
.\crates\mahjong_core\src\event\mod.rs                                                                         2              5              6
.\crates\mahjong_core\src\flow\charleston\mod.rs                                                               3             42              6
.\crates\mahjong_server\migrations\20260107000001_security_fixes.sql                                           3             11              6
.\crates\mahjong_server\src\network\websocket\heartbeat.rs                                                     2             24              6
.\vitest.config.ts                                                                                             1              0              6
.\apps\client\src\lib\utils.ts                                                                                 2             19              5
.\apps\client\src\types\bindings\generated\CallIntentSummary.ts                                                1             10              5
.\apps\client\src\types\bindings\generated\DiscardInfo.ts                                                      1             10              5
.\apps\client\src\types\bindings\generated\DiscardedTile.ts                                                    1             10              5
.\crates\mahjong_ai\src\mcts\mod.rs                                                                            2             53              5
.\apps\client\src-tauri\src\main.rs                                                                            1              1              4
.\apps\client\src\components\game\rackStyles.ts                                                                0              0              4
.\apps\client\src\lib\utils\dom.ts                                                                             0              0              4
.\apps\client\src\types\bindings\generated\CallTieBreakReason.ts                                               1             10              4
.\apps\client\src\types\bindings\generated\Event.ts                                                            1              4              4
.\apps\client\src\types\bindings\generated\ScoreModifiers.ts                                                   1             31              4
.\crates\mahjong_core\src\table\handlers\mod.rs                                                                1              1              4
.\apps\client\src-tauri\build.rs                                                                               0              0              3
.\apps\client\src\types\bindings\generated\CallResolution.ts                                                   1              4              3
.\apps\client\src\types\bindings\generated\Deck.ts                                                             1              7              3
.\apps\client\src\types\bindings\generated\MoveHistorySummary.ts                                               1              6              3
.\apps\client\src\types\bindings\generated\PhaseTrigger.ts                                                     1              7              3
.\apps\client\src\types\bindings\generated\ReplayData.ts                                                       1              4              3
.\apps\client\src\types\bindings\generated\StateSnapshotPayload.ts                                             1              7              3
.\apps\client\src\types\bindings\generated\TurnAction.ts                                                       1              6              3
.\crates\mahjong_ai\src\strategies\mod.rs                                                                      1              4              3
.\crates\mahjong_server\migrations\20260108000001_add_wall_state.sql                                           2              2              3
.\apps\client\src\types\bindings\generated\CallIntentKind.ts                                                   1              4              2
.\apps\client\src\types\bindings\generated\CallIntentSummaryKind.ts                                            1              4              2
.\apps\client\src\types\bindings\generated\GameEndCondition.ts                                                 1              9              2
.\apps\client\src\types\bindings\generated\PingPayload.ts                                                      1              7              2
.\apps\client\src\types\bindings\generated\WinType.ts                                                          1              8              2
.\crates\mahjong_core\src\bot\mod.rs                                                                           2              2              2
.\crates\mahjong_core\src\flow\tests\mod.rs                                                                    1              1              2
.\crates\mahjong_core\src\rules\mod.rs                                                                         1              1              2
.\apps\client\src\components\game\types.ts                                                                     1              5              1
.\apps\client\src\types\bindings\generated\AbandonReason.ts                                                    1              6              1
.\apps\client\src\types\bindings\generated\CharlestonStage.ts                                                  1             39              1
.\apps\client\src\types\bindings\generated\CharlestonVote.ts                                                   1             10              1
.\apps\client\src\types\bindings\generated\DefensiveSafety.ts                                                  1              1              1
.\apps\client\src\types\bindings\generated\Difficulty.ts                                                       1              6              1
.\apps\client\src\types\bindings\generated\GameMode.ts                                                         1              4              1
.\apps\client\src\types\bindings\generated\HintVerbosity.ts                                                    1             25              1
.\apps\client\src\types\bindings\generated\HistoryMode.ts                                                      1             12              1
.\apps\client\src\types\bindings\generated\IncomingContext.ts                                                  1              4              1
.\apps\client\src\types\bindings\generated\MeldError.ts                                                        1              1              1
.\apps\client\src\types\bindings\generated\MeldType.ts                                                         1              1              1
.\apps\client\src\types\bindings\generated\PassDirection.ts                                                    1              6              1
.\apps\client\src\types\bindings\generated\PatternDifficulty.ts                                                1              4              1
.\apps\client\src\types\bindings\generated\PlayerStatus.ts                                                     1              4              1
.\apps\client\src\types\bindings\generated\ReplacementReason.ts                                                1              4              1
.\apps\client\src\types\bindings\generated\Seat.ts                                                             1              5              1
.\apps\client\src\types\bindings\generated\SetupStage.ts                                                       1              7              1
.\apps\client\src\types\bindings\generated\StateError.ts                                                       1              7              1
.\apps\client\src\types\bindings\generated\Tile.ts                                                             1             17              1
.\apps\client\src\types\bindings\generated\TimerMode.ts                                                        1              4              1
.\apps\client\src\types\bindings\index.ts                                                                      0              0              1
.\crates\mahjong_ai\src\test_utils.rs                                                                          1              2              1
.\crates\mahjong_server\migrations\20260112000001_add_analysis_log.sql                                         1              1              1
.\crates\mahjong_server\src\test_utils.rs                                                                      1              2              1
.\eslint.config.js                                                                                             0              2              1
----------------------------------------------------------------------------------------------------------------------------------------------
SUM:                                                                                                       15658          17465          78247
----------------------------------------------------------------------------------------------------------------------------------------------

-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
TypeScript                     336           6308           6219          37977
Rust                           161           5254          10605          28300
Markdown                       110           3286              0           7979
HTML                             3            203             19           1852
Python                          10            424            475           1301
JavaScript                       7             67             42            417
CSS                              3             85             28            277
SQL                              5             31             77            144
-------------------------------------------------------------------------------
SUM:                           635          15658          17465          78247
-------------------------------------------------------------------------------
