github.com/AlDanial/cloc v 2.02  T=1.55 s (410.8 files/s, 72054.5 lines/s)
----------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                       blank        comment           code
.\crates\mahjong_core\tests\phase3_joker_rules.rs                                                             70             89            268
.\apps\client\src\features\game\CallWindow.integration.test.tsx                                               49             35            266
.\apps\client\src\components\game\StagingStrip.test.tsx                                                       42              4            265
.\apps\client\src\features\game\CharlestonFirstRight.integration.test.tsx                                     69             50            262
.\apps\client\src\components\game\OpponentRack.test.tsx                                                       43             11            253
.\crates\mahjong_core\tests\scoring_integration.rs                                                            57             40            250
.\apps\client\src\components\game\useGameBoardOverlays.test.ts                                                46              5            248
.\docs\implementation\frontend\IMPLEMENTATION_GUIDE.md                                                        96              0            248
.\crates\mahjong_core\tests\unified_card_integration.rs                                                       52             36            247
.\crates\mahjong_server\tests\admin_tests.rs                                                                  65             56            244
.\crates\mahjong_core\tests\timer_behavior.rs                                                                 33             21            243
.\crates\mahjong_server\src\replay.rs                                                                         47             86            242
.\apps\client\src\features\game\JokerExchangeMultiple.integration.test.tsx                                    34             44            239
.\apps\client\src\features\game\MahjongSelfDraw.integration.test.tsx                                          47             15            239
.\apps\client\src\lib\game-events\sideEffectManager.test.ts                                                   62             24            238
.\crates\mahjong_core\src\hint.rs                                                                             52            187            230
.\crates\mahjong_core\src\event\public_events.rs                                                              26            194            229
.\apps\client\src\lib\game-events\publicEventHandlers.charleston.ts                                           20              5            228
.\crates\mahjong_server\tests\history_stress_tests.rs                                                         56            235            228
.\crates\mahjong_core\src\call_resolution.rs                                                                  37             68            227
.\crates\mahjong_server\tests\admin_integration_tests.rs                                                      58             47            227
.\crates\mahjong_core\src\bot\basic.rs                                                                        61            118            226
.\apps\client\src\components\game\phases\charleston-courtesy-pass.integration.test.tsx                        33             17            221
.\crates\mahjong_core\src\event\tests.rs                                                                      32              4            219
.\crates\mahjong_core\tests\turn_flow.rs                                                                      41             35            219
.\crates\mahjong_server\tests\hint_composer_pipeline.rs                                                       29              0            219
.\apps\client\src\hooks\useHintSystem.ts                                                                      18              1            217
.\apps\client\src\components\game\useGamePhase.test.ts                                                        13              2            210
.\docs\implementation\frontend\VR-008-player-zone-wrapper.md                                                  48              0            210
.\apps\client\src\components\game\useGameBoardOverlays.ts                                                     14              9            209
.\crates\mahjong_core\src\table\types.rs                                                                      58            124            209
.\apps\client\src\features\game\JokerExchangeSingle.integration.test.tsx                                      31             36            208
.\crates\mahjong_core\tests\bot_basic.rs                                                                      52             28            207
.\apps\client\src\components\game\phases\playing-phase\PlayingPhaseOverlays.test.tsx                           4              0            206
.\apps\client\src\hooks\useGameSocket.test.ts                                                                 44              6            205
.\apps\client\src\components\game\phases\PlayingPhase.tsx                                                     13              7            204
.\apps\client\src\components\game\JokerExchangeDialog.test.tsx                                                21              6            202
.\crates\mahjong_server\tests\bot_config_tests.rs                                                             71             36            202
.\apps\client\src\hooks\gameSocketTransport.ts                                                                32              0            201
.\apps\client\src\hooks\useGameSocket.ts                                                                      21             17            201
.\apps\client\src\features\game\DrawTile.integration.test.tsx                                                 54             30            200
.\apps\client\src\features\game\CharlestonFirstLeft.integration.test.tsx                                      45              6            198
.\apps\client\src\features\game\WallGameDraw.integration.test.tsx                                             50             28            197
.\apps\client\src\hooks\useGameAnimations.test.ts                                                             67             11            197
.\crates\mahjong_core\tests\joker_strict_test.rs                                                              68             83            197
.\apps\client\src\components\game\CreateRoomForm.tsx                                                          19             26            194
.\apps\client\src\components\game\ExposedMeldsArea.test.tsx                                                   32              6            193
.\apps\client\src\hooks\useHistoryData.test.ts                                                                32              2            193
.\apps\client\src\components\game\TimerConfigPanel.tsx                                                        25             59            192
.\apps\client\src\components\game\Tile.test.md                                                                84              0            191
.\apps\client\src\components\game\TileImage.test.tsx                                                          35             20            191
.\apps\client\src\components\game\Tile.css                                                                    33             26            188
.\apps\client\src\features\game\Playing.integration.test.tsx                                                  35              7            182
.\apps\client\src\hooks\gameSocketProtocol.ts                                                                 25              0            181
.\crates\mahjong_core\src\table\replay.rs                                                                      9             31            181
.\crates\mahjong_server\src\hint\mod.rs                                                                       16             44            181
.\apps\client\src\components\game\PlayerRack.tsx                                                              10             30            178
.\crates\mahjong_ai\src\strategies\mcts_ai.rs                                                                 30            105            178
.\apps\client\src\features\room\JoinRoom.integration.test.tsx                                                 44             10            174
.\crates\mahjong_core\src\tile.rs                                                                             37            109            173
.\crates\mahjong_server\src\network\history.rs                                                                48            141            172
.\docs\implementation\frontend\tests\test-scenarios\charleston-standard.md                                    68              0            171
.\apps\client\src\components\game\StagingStrip.tsx                                                            10              3            170
.\apps\client\src\components\game\HintSettingsSection.tsx                                                     10             21            169
.\crates\mahjong_server\src\network\websocket\router.rs                                                       19             57            169
.\apps\client\src\features\game\CharlestonSecondRight.integration.test.tsx                                    41             16            168
.\apps\client\src\components\game\VotingPanel.test.tsx                                                        54              7            167
.\crates\mahjong_ai\src\mcts\simulation.rs                                                                    44             61            166
.\apps\client\src\test\mocks\zustand.test.ts                                                                  63             14            165
